,source,edge,target
0,Nature,creates complex,simple  components
1,acids,incorporated into,genetic  code
4,several  each,made from several,submodules
5,natural  we,has natural,solid state devices
8,components complexity,increases,also  Section
9,physical  phenomena,reached,individual components changes
10,physical  phenomena,affect,system
11,modern fabrication facilities,discusses,consistent  properties
12,modern fabrication facilities,produce,chips
13,constantly  components,increasing,defective  chips
15,lack,attributed to,physical state chip
16,problem,identified by,Technology Semiconductors
19,range,widening,threshold transistor
20,transistors,have,threshold zero
21,Thus  transistors,operate as,switches
22,range,becomes,14 nm technology
24,accumulation,limit,other analog system
25,systems,have,distant  bounds
26,composability,limited by physical,physical  laws
28,cloud,composed of,large  servers
29,processor,made,multiple  cores
30,that,pushes,composability bounds
31,that,break,one  scale
32,e.g.  laws,replaced at atomic,atomic quantum mechanics
34,that,scale,small  components
35,many computer clusters,have,front
38,new nerve algorithms,has multiple,centers
40,that,extended,single  system
41,previous  entities,collaborate with,one
42,this,requires,communication
43,fail stop,revealed,scale  73
45,large scale that,occur with,overall system availability
47,Scaling,has other,just  components
48,space,plays,important
49,when component systems,clustered,small  area
51,1.6 data centers,distributed,cloud provider
52,type,introduced in,computational data Section
54,service,means,critical  infrastructure
55,service,used by,large  population
56,societal  scaling,is,system Internet
57,societal  scaling,affects,system complexity
59,same  popularity,demands simple,simple  infrastructure
61,intricate  who,increases due,little  technology
62,users,understand,wireless security communication
