,source,edge,target
1,abstractions,drive,physical  reality
2,physical transport properties,forget,such  systems
5,we,distinguish,such scripting languages
6,interpreter,recognize,next  action
7,when  we,design,an
8,Information,has,physical  support
9,one,acts on,physical  system
11,we,encode,electromagnetic  waves
12,we,have,electromagnetic communication media
14,free communication we,want,detecting error rate
16,delicate  that,have,physical  systems
18,balance,shifted in recent,cyberphysical  systems
20,systems,allow,same systems systems environment
23,dimension,related to,operational  environment
24,precisely  who,captures,system
25,design,consider,only  technological
26,complex  we,topic of,next system section
