,source,edge,target
0,Alliance,aims,cloud security standards incubator
2,reports,are,available Web site
3,original  report,published,2009
4,reports,followed,"97,98"
5,that,paper on,similar  conclusions
6,paper,presents,services life cycle
8,issues,vary depending,cloud 273
10,book,gives,comprehensive cloud security
11,Privacy,discussed in,available European ec.europa.eu/justice/policies/privacy
12,paper,analyzes,current risk cloud
13,collaborations,discussed in,51
14,paper,presents,untrusted management OS
16,impact,analyzed in,cloud 118
17,scheme,presented in,182
18,study,found at,virtualized security taviso.decsystem.org/virtsec.pdf
20,approach,presented in,cloud 384
21,aspects,covered in,152
