,source,edge,target
0,section,gives,step Linux platform
11,press,Continue,default settings
17,it,hidden,unauthorized  access
22,option,Create,New Security Group
25,we,change,new  rule
26,review which,Continue,instance
27,Launch,press,Close confirmation page
29,Instances,tab on,navigation instance
35,it,needed,Linux terminal
37,permanent IP address,assign,Elastic IP address
41,ssh traffic,rule to,TCP protocol
43,when error you,denied,instance
48,you,get,the
51,DNS name,appear,known  hosts
53,icon,displayed,Amazon Linux AMI
54,thus root user,install,software
55,user,have,root
61,when ssh connection,terminated,Linux
