,source,edge,target
0,networks,prove,useful cloud computing
1,distribution,follows,free power law
2,=  a,consider,=  k−γ
3,physical  systems,interconnected by,free  network
4,social power grid,confirm,generating Western United case
5,grid,has,generating Western United stations
7,studies,indicate,scientific γ papers
8,two  actors,follows,same γ ≈
9,closer power law,approximates,3  distribution
10,few  vertices,have,large  Figure
13,most,have,same
15,it,has,fact
16,>  2,bound on,lower  network
17,free  networks,shown,favorable  attacks
18,networks,have remarkable,random  40
19,moments,play,important power law network
21,only vertex vertices,destroyed,average vertex degree
22,free  networks,make,peer interconnection peer
24,We,determine,first zeta ζ(γ
25,1.5  %,means,10  edges
26,1.5  %,have more,than  10
27,92.5  %,see,vertices
28,Table,shows,large  network
29,majority,connected to,directly  vertices
30,60  %,connected to,27  property
32,92.5 control %,assume,nodes
33,free  network,conclude,ideal  cloud
35,we,generate,desired  topology
36,when  nodes,pay,virtual  interconnect
40,Vertex  i,has,compact  set
41,new graph degrees,want,power law distribution
44,We,assign to,a
46,We,select,probability
48,given  i,connected,given  vertices
54,generating  function,written as,gi
57,k,conclude,pd
61,graph,has,power law distribution
62,we,see,unique GSF graph
64,multiple  vertices,reflects,same  degree
65,We,denote,α α 1
67,We,see,n(k
68,theoretical  number,conclude,2 power law
70,Next  we,discuss,random  walks
71,strategy,based on biased,random  walks
73,walks,reported to,such bemore flooding
78,t.,Let,π
82,g(i)πi S we,want,t =
83,g(i)πi S we,can,E S i=0
84,transition π,is,transition distribution
88,Two  versions,discussed in,Baker[36
91,.We,choose,j i
92,Then  we,have,pi
93,algorithm,adopts,adjustable equilibrium 140
95,algorithm,based on random,random walk Metropolis
97,Then degree distribution,repeat,γ =
103,scheme,presented in,adjustable overlay 319
104,method,based on,based peer 181
105,algorithm,based on,"random power law 140,212"
108,estimation,analyzed in,empirical degree 86
109,Several  measures,exist for,random trace distance
110,two Kolmogorov distance fidelity,distance,D(pX
116,one,requires,earlier  vertices
117,one  vertices,see,actual degree distribution
118,one  vertices,represent,large power law network
