,source,edge,target
0,users,allowed,individual users systems
2,Independently Burroughs Corporation,developed,virtual  1961
4,memory,used,segmentation
5,IBM,introduced,new operating system
10,multiple operating systems,virtualized,virtual machine contexts
12,early  virtualization,driven by,large  users
14,system,based on,CP  CMS
15,virtual  machine,created for,virtual  applications
16,VMM,managed,hardware resources
17,mainframes,retain backward,1960s era IBM S/360 line
18,production,contributed,other hardware end
21,where operating innovation,write,geologic  pace
22,VMMs,give,operating system another
