,source,edge,target
0,performance audit,evaluates cloud,cloud  performance
1,audit,evaluates,cloud privacy assurance
2,audit,evaluates,cloud
3,computer operations center,start with,cloud that
4,cloud  services,provided by,noncloud architectures
6,SaaS,gives,cloud infrastructure
8,user,manage,specific application configuration settings
10,Services,services such,such workflow management
12,Many  competitors,use,same
16,Platform,gives,created programming provider
18,user,manage,underlying cloud network
19,user,has,possibly environment configurations
20,services,include,Markup Language Web service applications
25,consumer,manage,such host firewalls
26,Services,include,server hosting
28,model,has,a
29,model,based on,utility pricing model
30,hardware,shared among multiple,multiple  users
31,business,needs,resources
32,three delivery models,include,1
33,oriented  architecture,shows,complex  subsystems
34,oriented  architecture,involves multiple,multiple
36,resource abstraction which,see,physical resource layer
