,source,edge,target
2,4.3 billion 4.3 that,provides,4.3 billion 4.3 addresses
3,Indeed Assigned Numbers Authority,assigned,fresh Internet addresses
5,Each,represents,possible 16.7 addresses
6,Protocol,provides,addressing  2128
8,IPv6,implement traditional,therefore broadcast addresses
10,new multicast group which,supports new,interdomain  solutions
11,when  hosts,configure,ICMPv6 router discovery messages
14,host,sends,local router solicitation multicast
15,router advertisement that,respond to,configuration parameters
18,protocols,operate at,TCP IP suite
19,IPsec,uses several,several
20,Headers,supports,connectionless
23,Security Associations,provides,AH ESP operations
24,us,allows,IPv6
25,us,explain,the
27,scheme,supports,10 billion 10 phones
28,we,have fewer,available  that
29,available area numbers,wasted,given  area
30,we,use,geographic area proximity
33,large  organizations,use private,five phone digits
34,public phone number,translate,three digit extension
35,Analogously Network Address Translation,allows,private IP addresses
37,NAT,work,such  VoIP
38,Skype STUN applications,work,well  NAT
39,SSLVPN,supports,VPN NAT
41,we,need new,new
42,much phone number,need new,new phone books
46,Similarly IPv6 migration,involves,applications
47,backward  organization,requires backward,complete IPv4 infrastructure
48,organization,maintain,complete  IPv4
49,steadily  adoption,investigated,large  deployments
50,we,see,IPv6
51,IPv6 deployment,is,absent consumer access networks
