,source,edge,target
0,IDE,written,other plug languages
3,IDE,called,C Eclipse PHP
4,that,supports,intensive  distributed
5,Hadoop,inspired by,MapReduce
7,extensive software that,consists of,Unix like Unix look
8,that,provide,Unix like
9,where JAVA_Home = JDK,set,1.6 JAVA_Home = path
11,Hadoop plugin,Note,Europa Hadoop plugin
15,> Environment Variables,Display,following path 3
21,when  prompted,installed,sshd
23,> Control Services,Start,cygwin service
33,files,contain,recent authorization keys
39,you,warned,host
40,authenticity,established,host
43,you,see,cygwin prompt
44,you,have,that
53,that,window,downloaded Hadoop archive
57,You,ls,created  directory
58,You,see,newly  created
59,You,ls,Figure
60,You,see,the
61,cd  cd,conf,explorer
62,Explorer window,cause,conf  directory
71,message,appears,Figure
