,source,edge,target
0,technology,based on,named site licenses
3,some,reached,software EC2
4,Furthermore  MathWorks,developed,ofMATLABin grid 63
5,only  users,gaining,only  services
10,power,renewed,such SmartLM research project
11,license management,requires,complex software SLA
13,architecture,has several,several license layers
17,When  user,requests,a
18,terms,negotiated,license usage
20,cost,becomes,SLA
21,SLA,describes,maximum resource cost
25,we,point,authorization
27,application,have,authority
29,administrator,opens,local license certificate
30,administrator,hijack,license mechanism
