,source,edge,target
0,applications,divided into several,broad  categories
2,types,identified,data processing applications
3,pipeline,supports,large Web crawler engines
4,pipeline,supports,large  interests
6,users,allow,users cloud
12,pipeline,converts,e.g.  documents
13,Word,use optical,digital character documents
15,systems,cover,intensive  enterprise
16,applications,have,typically  deadlines
17,failure,have serious,economic  consequences
18,list,includes,annual activity retail
19,categories,have,such Web conferences
20,e.g. holiday that,are,15 income tax deadline
22,auto,makes economic,economic
25,new  classes,leads,other business analytics
26,new  classes,emerge in,cloud computing example
27,that,process large,large  data
28,many cloud applications,benefit from,areas
29,software,run on,also  cloud
