,source,edge,target
5,SLA,records,ii  priorities
6,agreement,covers,confidential customer information
8,area,define,other target service
9,Penaltiesmay,specified in,also  SLA
10,oriented  architecture,expected,middleware  SLAmanagement
13,project,researching,European area
15,time service desk,answers,a
16,percentage,answered,calls
20,negotiation which,has,responsible processing proposals
21,concept,discussed in,cloud service
22,authors,propose,compliance level CLAs
24,WS 20,uses,customizable  aspects
27,language,supports,one round counterproposals
29,framework,described in,virtual computing 379
