,source,edge,target
0,computing,based on,computing paradigm ethics
2,multiple  services,stored on multiple,several  organizations
5,Systems,span,multiple security process
9,border,becomes,accountability
10,something,make,case
11,who,determine,something
12,many  entities,contribute,undesirable  consequences
13,Some,have,consequences
15,therefore  one,held responsible,many  hands
16,sharing,test,self
17,this,tests,today
18,social  which,made possible,also cloud computing
19,providers,collected,personal data world
20,where data centers,determined by,therefore privacy companies
22,other  cultures,emphasize,community
24,ambivalent  which,leads to,ambivalent  Internet
25,what,have easy,proactively cloud easy
26,undesirable  phenomena,appear in,only cloud time
27,something,means,regulations
29,attention,paid,ethics
31,who,allows,records
33,only  that,is,prices
