,source,edge,target
0,systems,allow,controlled  environment
1,administrators,enforce,virtual security resources
2,model,challenged in,early peer topeer
3,systems,regarded as,clouds
4,model,promoted,distributed  the
5,resources,located in different,administrative  domains
7,systems,exploit,computing network resources
9,scientific  computing,developed in,intensive  tasks
11,scientific  computing,used free,participating  systems
12,model,represents,several client server decades
13,systems,have several,desirable  properties
14,dedicated  resources,require,participating  systems
16,individual  nodes,required,global  state
17,abundance,are resilient,high  replication
18,way network servers,require excessive,client server model
19,Last  systems,shielded from,often system architecture
20,P2P systems,raises,various  applications
21,activities,makes,copyrighted  content
23,ground newparadigmwas,embraced by,other file sharing
24,BOINC applications applications,appeal,368 users applications
25,applications,appeal,networks
26,registered Skype users,reported in,voice 100 calls
27,registered Skype users,used more,than 100 billion
28,2012 volunteer computing,reports,6.3  petaFLOPS
29,2012 volunteer computing,involved,"than  275,000"
30,It,reported,70 Internet %
32,new P2P applications,rushed,dedicated  infrastructure
37,other  algorithms,require,nodes
38,Chord,maps,few  nodes
39,decentralized  client,uses local,own client neighbors
41,credibility,depends,node
42,reputation,computes,minded  peers
43,servers,accept,participating coordination systems
44,servers,crawl through,Web
45,new communication hosts,triggered,limited network systems
47,that,enables,node
49,systems,differ in,systems architecture
50,centralized  others,have,dedicated  controller
51,others,have,dedicated
52,controller,involved in,intensive  operations
53,Skype,has,central
54,users,sign,specific  site
56,controller,maintains,participating task systems
58,nodes,act as,available system content
59,virtual overlay network,built around,real  network
60,N  E,consider,vertices
62,virtual overlay node,maintains,table IP address
64,types,used by,unstructured P2P systems
66,node,has,structured  unique
67,keys,selected,large name space
