,source,edge,target
0,when  computer,isolated in,room
2,wide  computers,opened,one
3,various  embodiments,migrate,all  globe
6,new  society,takes,increasingly information infrastructure
8,critical  infrastructure,attacked by,computer security
9,Malware,targets industrial,industrial control software
10,Recently term cyberwarfare,entered,nation damage
11,3.10  we,identified,Section
12,9.1  we,elaborate on,topic
13,Some,shared with other,network  content
16,how life technology,are many,on life technology
17,concerns,represent,acceptance
18,especially value proposition,fade,time
19,moving,accepted by,internal IT community
20,moving,liberates,technical computer security
22,rather  outsourcing,seems,security  concerns
24,outsourcing,generates major,new  security
26,cloud computer who,provide adequate,often  users
30,pool,dispersed over several,several cloud service countries
31,information,cross national,freely  national
32,where data centers,is,cloud computing providers
