,source,edge,target
0,extremely  it,poses new,extremely  problems
1,number,dedicated to various,various resource management policies
6,scheduling,presented in,SLA 54
7,QoS,analyzed in,121
8,participants,called combinatorial,items
9,participants,bid,which
10,auctions,provide,cloud resource allocation
11,simultaneous clock proxy algorithm,called,333
13,applications,discussed in,data centers
15,policies,discussed in,150
16,services,covered in,280
17,management,discussed in,heterogeneous  344
18,allocation,covered by numerous,numerous  papers
19,system,presented,Hadoop
20,driven  scheduling,covered in,business 106
22,Scheduling,presented in,real cloud 220
23,Forum,involved in,175 virtualization performance
