,source,edge,target
2,we,add,the
3,estimate,puts,January
4,number,expected,early 2.4 2013
6,desirable  properties,migrate from,system
7,desirable  properties,are,system
10,number,estimated,human  brain
12,Indeed  behavior,explained without precise,precise behavior components
13,solar  system,make,gravitational  planets
14,we,undertaken,physical  us
17,Sometimes  we,forced,better  systems
19,other interaction that,aim,failure
23,certain  gain,suffered,case
24,when  device,gripped in,certain  way
25,gain,was,case
26,effect,foreseen,retrospect
28,Discovery,required for,physical building knowledge
30,we,increase,number components
33,solution,exists,computing  systems
34,7.10we  systems,showed,desirable  property
35,free  this,have,free  networks
36,degrees,enjoy,power law
37,vast  majority,have,one
38,Thus  scalability,assured,large scale principle
39,unfortunately system dimension,ignored,important system complexity
44,Whenever  we,simulate,a
45,complexity,increases with,interaction capabilities
46,Indeed simulation program,has,well  components
48,help,decrease,the
49,multiple  components,share,multiple  same
50,irregularities,have,opposite  effect
51,length,captured by,Kolmogorov Section
52,Symmetry,imply,computing  homogeneity
55,distributed computing systems,cited,hardware  reasons
56,we,the,versatility
58,we,add new,new  features
59,we,increase,system
62,where effort routers,designed as,freely  packets
64,retransmission,when,discarded  packets
65,changes,increased,Internet
66,when time we,saw in,real time constraints
67,management,increases,cloud resources
68,real time we,attempt,real time constraints
