,source,edge,target
0,survey,found in,distributed file 316
1,2  4,defined,RFCs
2,Version,added,many file replies
4,new  version,allowed,when file directory
7,Version,borrowed,few File System
8,2 NFS WebNFS,enables,easily Web browsers
10,AFS,developed at,IBM
11,it,developed as,further name 2000
12,165,developed at,UC mid-1980s
13,Locus,developed at,early  1980s
14,development,continued by,Locus Computing Corporation
15,Apollo,developed at,Apollo Computer HP
18,System,developed at,Bell mid-1980s
19,documentation,given,caching  GPFS
20,generations,developed through,different  years
21,IBM,released,Information Management System
22,where  data,based on,linked  data
23,RDBMS  model,introduced in,Codd
24,related  records,linked,unique  key
26,Codd,introduced,also tuple calculus
27,this,led to,Structured Query Language
28,Ingres research project,developed,UC an
29,several  companies,established,commercial Ingres project
31,DB2,dominated,later RDBMS 1980s
32,TheOracleCorporation,involved in,also  RDBMS
34,ACID,defined by,156
35,ACID,introduced in,156
37,oriented database management information,led to,objects
38,ideas,helped,commercial MCC products
40,systems,emerged in,2000s
41,systems,follow,tolerant ACID architecture
