,source,edge,target
0,ofmicroprocessor  technologies,is,parallel cloud computing
1,ofmicroprocessor  technologies,paved,parallel control the
2,fascinating  developments,have,new  technology
4,we,discuss,only cloud computing
5,Internet,evolving under,own  success
7,network,supporting,only  the
8,transport,morphed into,real multimedia applications
10,we,examine,two  networks
11,two  networks,exchange,freely  customers
12,two  networks,exchange,freely  traffic
13,network,pays,another
15,network,paid,which
17,networks,classified as,commonly  Tier
18,network,reach,other  Internet
19,that,engages in,other  networks
22,typically  traffic,billed by,upstream  provider
23,that,reduce,per IXPs service
25,increased  number,improves,tolerance
26,one network each,consists of,participating  ISPs
27,technologies,reshaping,such content delivery Figure
30,applications,moving to,cloud
31,such customers that,consumes,significant network bandwidth
33,network infrastructure,keep,bandwidth
34,infrastructure,falling,behind network Figure
37,Google,initiated,Google Fiber
