,source,edge,target
1,system,uses,well system information
5,System,uses,distributed  lock
6,directories,used as,locks
7,system,based on,simple  datamodel
8,application developer,allows,application clients
9,developer,exercise,data format
11,when  operation,affects more,than  one
12,column which,identify,access control
13,applications,add,row
16,range,partitioned into,load
17,default,defined by,microseconds
18,key,consists of,arbitrary family qualifier
19,organization,shows,multidimensional email application
21,system,consists of,large tablet servers
22,server,controls,table column creation
26,second metadata which,stored in,user tablets
28,which,points to,user tablets
31,performance,reported in,Table
33,when  number,shows,finally  500
34,when  number,increases from,50
35,Locking,prevents,linear speed system
36,259 tablet clusters,reported,1 tablet servers
37,12  clusters,use more,500 tablet servers
38,259  clusters,use,between  tablet
39,BigTable,used by,andWeb crawlers
40,Google Earth,uses,two client data
41,table,stored on,70  data
42,table,contains,some  70
43,row,consists,data
44,geographic  segments,stored in,close  one
45,very  it,contains,raw  image
46,stage,relies,serving  phase
49,organization,enables,of response second
51,Analytics,provides aggregate,such aWeb day
53,time servers Web page,embed,servers Web information
55,data,collected in,200 end user session
56,table,contains,predefined  Website
