,source,edge,target
0,Lawrence who,traced,rather circuit switching
1,when Ivan Sutherland,encouraged,Research Projects Agency
2,early Leonard Kleinrock,developed,switching packet networks
3,Kleinrock,published,first  1964
4,1968  DARPA,released,packet switches
5,group,won,Bolt contract
6,teams,played,architectural Leonard design
8,idea,introduced by,first architecture 1972
9,collaboration,led to,TCP Vint IP
10,groups,won,TCP DARPA IP
12,BBN,installed,first  UCLA
14,nodes,added at,UC Santa Utah
16,personal network computers,allowed,1980s
18,computers,connected to,Internet
21,System,invented by,USC Paul ISI
22,DNS,permitted,hierarchical Internet address
23,Berkeley,rewrote,TCP Unix BSD system
25,Dennis Jennings,started,research NSFNET communities
