,source,edge,target
0,other  factors,limit in,practice
1,mean  time,becomes smaller,entire  system
3,so components the,does,components increases
5,us,allows,complex system structures
6,us,develop individual,individual system components
8,Inmany,instances,the
10,number,limited by,solid state heat
11,finite  speed,expose,new  limit
12,finite  speed,expose,new
13,systems,have,unique
14,us,pushed,physical  hardware
16,us,overcome,physical
17,multiprocessor processor,allows,multiple  cores
19,us,build,multiprocessor
22,multiple  clusters,interconnected,next computer software
24,abstract system concepts,lend,computing design systems
25,well system design,understood,physics
26,system design,obey,the
27,that,controlled by,multiple  scales
30,Systems,have,predefined  bottom
34,that,have unwanted,unwanted  level
35,Systems,entangled with,Systems environment
38,selection,result in,unintended  consequences
39,Systems,expected,individual  systems
41,computing  systems,deployed,same  time
42,number,contribute to,computing  Figure
44,which,demands,turn
46,one,have,side effects
47,"HTH),4 malignant that",allows,hardware trojan horses
48,communication,creates new,complex security software
50,we,continue,computing communication systems
52,factors,require,new systems integration
