,source,edge,target
0,that,discuss,cloud computing
2,4  we,discussed cloud,computational cloud science
3,cloud,showed,fine-  parallelism
5,cloud that,means,grained  parallelism
8,cloud  instances,run,different  system
10,when analysis results,based on,defined  metric
11,partial  results,is,then storage server
14,new  results,signal,new  analysis
16,strategy,used by,other system design area
17,multiple  instances,run concurrent,different  system
18,application,discussed,optimal Programmable Gate Arrays
21,logic that,consists of,logical  Figure
22,FPGA,produced in,Xilinx
23,FPGAs,used in many,digital signal processing
24,languages,used,such  FPGAs
26,HDLs,used,RTL register transfer circuit
28,stages,used,FPGAs
31,system,designed,components
33,structure,shown in,Figure
34,system,uses,logical route fabric
37,random access couple,take,powerful  workstation
39,options,speeds,optimization factor
