,source,edge,target
0,methods,introduced,human  knowledge
1,few  we,witnessed,complex  phenomena
2,2007 scientist Jim Gray,discussed,scientific  method
5,data,processed,simulations
6,data,stored by,statistical computer packages
10,activities,require powerful,powerful computing systems
11,atmospheric  data,viewed as,different theWeb sources
12,binary text encoding,allows,serious  challenges
14,encoding,poses serious,documents
15,Metadata,used,scientific  data
17,data that,describes,scientific data domains
20,run time system,supports,based  orchestration
