,source,edge,target
1,services,grouped into several,several  categories
3,when  someone,designed,first  AWS
5,space we,chosen,large programming AWS
7,new  services,mentioned,continually Web pages time
8,new  services,added to,continually  AWS
11,one,create,first  account
12,user,allows,then  instance
15,availability zone,selected,region
16,few  class,grouped into,such CPU cycles
18,systems,supported by,several Microsoft Figure
21,application,needs more,than  20
24,instance,persist,Elastic Block Storage
26,then  instance,restarted,later  time
28,user,perform several,current EBS AMI
30,user,terminate,also  Figure
32,11.3 EBS panel,allows,snapshots
34,EBS panel,allows,the
