,source,edge,target
0,cloud who,report,sensitive  information
1,cloud who,stored,sensitive  information
2,Users,operate,corporate  firewall
3,cloud service users,have,economical utility computing
7,when  users,argue,security
10,extended  Data,kept in,short  time
11,Data,exposed to,threats
12,close  attention,paid,storage transit
14,threats,can,processing
15,such  threats,originate from,rogue Section
18,this,justifies,insider attacks
19,concerns,regard,life data
24,CSPs,exacerbated,accidental data loss
27,backups,done without,consent
30,Today interoperability we,are,Section
32,questions,have satisfactory,satisfactory  time
33,when  service,done,CSP
35,How  we,access,needed  blackout
36,CSP,raises,drastically  CSP
42,optimization,generate additional,additional security threats
43,when  action,determine,present
44,multitenancy,is,many user concerns
45,Nevertheless  multitenancy,enables,lower server costs
46,utility users,have,multitenancy
48,threats,differ,one cloud delivery another
51,large  number,affected,users
52,already multitenancy threats,mentioned,processing time
53,multitenancy threats,can,processing time
55,so  users,have,legitimate users rights
56,data centers,located,CSP
57,laws,the,which
60,CSP,outsource,personal  information
62,Finally  CSP,required by,private law enforcement agencies
64,cloud  users,examine,security CSP
65,cloud  users,can,what
67,security CSP,evaluate,policies
68,that,analyze,cloud
71,contract,1,following
77,where  information,Specify,geographical  regions
80,user,try,sensitive  cloud
82,data users,carries,firewall
84,when cloud processing workflow,requires,cloud
85,When  volume,requires sensitive,sensitive processing sensitive
87,encryption,poses,data
91,hence  it,is possible,two party computations
