,source,edge,target
0,computation,formulated,public  water
1,computation,organized as,public  utility
2,Gordon Bell,invited to,parallel  themasses
4,only  cost,argued,rewriting  systems
5,Stanford University,founded by,chief Andy Bechtolsheim
6,Stanford University,incorporated in,California
7,EC2,released as,public cloud computing August
8,system,developed by,Cape Town
9,2008  Microsoft,announced,Windows Azure
10,2010  platform,became,June
11,system,announced on,June
12,Oracle Cloud,announced,features oracle cloud
