,source,edge,target
0,effort,concentrated in,Service
1,number,estimated,early 2.4 289
3,services,running on,such  iPhones
5,data,stored in,data cloud
6,service,hosts,Lotus Notes
10,multiple  users,allows multiple,same document changes
13,Docs,provides,spell checker
14,users,allows,several Microsoft Office
16,based  Calendar,supports multiple,monthly Outlook Calendar
18,reminders,received via,SMS
20,Picasa,provides,free disk charge
21,Users,add,Google Maps
23,users,allows,online discussion email
26,Initially  AppEngine,supported,only  Python
27,detailed  documentation,added,Java
28,database,accessed with,like Query syntax
29,where  photograph,reflects,so  227
30,crawlers,rely on,new  content
36,users,allows,customized search facets
37,users,create,customized  search
38,simple item type,selfdescribing,names
39,item,follows,simple  schema
40,type,attribute,names
41,Base,accessed in,relevant keyword database
44,results,ranked across,properties
47,this,done by,attributes query time
49,Drive,gives,20  GB
52,engines,implemented,several interest travel
53,However  data,covers,available  a
56,Google,redefined,centric Chrome OS
58,liberal application development Apple,adheres to,strict application rules
59,Apple,builds,own technology hardware
61,products,offer unparalleled,broad Android OS
62,other cloud service providers,manage vast,vast  data
63,DBMS,supports,defined query schema
65,interoperability,requires semantic,different management schemas
66,dataspaces,aim at,rather data coexistence
