,source,edge,target
0,it,believe,proper cloud computing
2,also  cloud,is,cyber scale infrastructure
4,nefarious  use,can,cloud resources
7,paper,identifies,third party data control
9,large user that,amplified due,cloud  resources
10,threats,begin at,user site
11,user,protect,cloud
12,threat,related to,authentication  process
13,procedures,extend to,one  enterprise
14,individuals,assigned distinct,distinct individuals organization
17,traditional  types,see,already cloud service providers
18,traditional  types,affected,already cloud service
19,multiple Cloud applications,distributed,malicious attack users
22,applications,run under,VM.Multitenency
25,where  resources,extended to,write storage media
27,catastrophic power events,shut,extended cloud time
29,large business model,prevent,data
30,model,depends on,data
31,Clouds,affected by,complex phase transition Chapter
33,application,return correct,cloud
34,control,generates,transparency
35,third  level,subcontract,trust
36,when  subcontractors,are,customer data
39,loss,caused by poor,poor quality storage devices
41,cloud provider espionage,poses,real
42,terms,place,usually data user
43,agreement,help,agreement We
47,release,identifies,top cloud computing
48,IaaS delivery model,affected by,threats
49,shared  SaaS,affected,abuse
51,abuse,refers to,multiple DDoS spam
53,technology,considers,multitenant  virtualization
54,guest operating system,have,virtual  machines
58,thus  risks,ignored,malicious  insiders
60,only  copy,stored,data
61,when cloud data replication,lost,storage media failure
64,some,includes proprietary,data
65,access,have,severe  consequences
66,unknown risk profile,refers to,cloud computing
67,version,provides,inherent cloud computing
68,attempt,presented in,cloud computing 147
71,user,attacked from,two  cloud
73,service,attacked from,user
75,few,originated,possible  attack
76,who,attacked by,cloud control system
78,infrastructure,targeted by,excessive  resources
