,source,edge,target
1,halting  that,proved,sequential  process
4,Boolean logic expression,showed,which
5,computing,devicewas,electromechanical byKonrad May
6,Z3,used,program film stock
8,ENIAC,became operational,John July
9,ENIAC,used,program patch cables
11,Neumann,contributed fundamental,modern  computers
12,Neumann,drew,stored program computer
13,ENIAC,thought,connecting engineering switches
14,Turing,introduced,called von Neumann architecture
15,Turing,faulted by,Turing insight
18,Neumann,led,Advanced Mathematical
19,1 Ivy that,used for sophisticated,longer South Pacific
22,prophets,writes,von machines
23,history,divided,digital  computing
24,Turing,arrived between,prophets
26,computers,made extensive,integrated operating systems
29,91,had numerous,hierarchical information sharing
31,UNIX,developed in,Kenneth Thompson
33,most  communication,discusses,program
34,most  communication,carried,UNIX
35,Shell,reads,other  programs
37,firstmicroprocessor,announced in,4004  1971
38,arithmetic,followed in,6800 bit 1974
39,microprocessor,announced in,National Semiconductor
41,used Motorola MC68000,had,24 bit addressing
42,80286,introduced in,1982
43,era,inaugurated by,x86 x86 architecture
45,multicore  processors,are ubiquitous,servers
