,source,edge,target
1,user,has direct,cloud aWeb resources
2,service provider,databases,hardware
3,system,ensures,such  tolerance
4,system,attributes such,such  security
6,PaaS,provides,only  a
7,PaaS,allow,security applications
8,total  PaaS,provides total,typically  control
9,PaaS,provides,typically  no
10,carefully cloud provider,is critical,carefully  liability
12,many  liabilities,apply to,third  party
14,partially user responsibility,increases in,interface
17,DDoS,affects,only  several
18,3.7  security,describes,major IaaS cloud cloud
