,source,edge,target
0,We,start,proportional data systems
3,we,analyze,Chapter
4,efficiency,captured by,power
5,subject operating efficiency,reported,"2,000  %"
6,two  performance,increased much,computing systems
7,performance,increased by,subject operating efficiency
9,power requirements,use,3.6 power 42
12,systems,lead to large,large computing clouds
13,more  load,consumes,light  load
15,proportional  system,operating at,100 % efficiency
17,subsystems,behave,differently energy efficiency
18,processors,have,memory  subsystems
19,processors,consume less,very peak lowload
20,number,emerged,proposals
21,data center network,argue,different butterfly interconnect
22,channels,consist of multiple,serial  lanes
23,physical  unit,stripped across,active  lanes
24,regardless  Channels,operate,multiple  lanes
25,Channels,send idle,idle  packets
28,One,based on,replication
29,strategy,reported in,sliding  364
30,better power requirements,indicate,31  %
33,technique,based on,data migration
34,system,uses,data storage
35,daily term optimization number,controlled by,longer term optimization period
37,"6,000 data centers",consumed,$ 4.5 billion
40,instantaneous  demand,expected,new power plants
42,network infrastructure,predicted,2010  efficiency
45,30 energy efficiency,improved by,six  magnitude
46,effort,focused on,data center
48,typical Google cluster,spends most,cluster time
51,when  network,operate in,dynamic  range
53,dynamic resource provisioning,argue,power consumption
55,resource management framework,presented in,dynamic SLA 358
58,support,consumes,very  large
60,MB Internet Internet,ranges from,MB ebook reading
62,energy demand,reports,4 network bandwidth
63,bandwidth  that,count,such Second Life
64,that,emerge in,future
65,greenhouse gas emissions,estimated,increased consumer demand
67,that,exploits,physical
68,prototype,described in,Green 376
