,source,edge,target
0,closed loop control we,saw,control theory allocation
1,we,assimilate,closed loop control system
2,we,apply,control theory principles
3,we,discuss,entire control theory cloud
4,management,based on,two service Figure
5,controllers,use,the
7,stability,related to,output
10,amount,becomes,useful  applications
11,most,occupied by,management functions
13,small  change,leads,controllers
14,which,occur,when  input
15,types,used in autonomic,Markovian decision models
16,Lessons,learned from,experiments
17,types,discussed in,109
18,actions,carried,control system
19,only  performance,carried,system
21,controlled  system,measure,which
23,system,occurs,workload
25,allocation  deallocation,cause,other  threshold
26,this,represent,instability
