,source,edge,target
2000,buffers,protected_by,corresponding page frames
2001,virtual network that,has,network interface card
2002,VIF,attached_to,firewall router firewall VFR
2003,rings,supported,packet receiving
2004,then send Xen,copies,matching packet rules
2005,pattern,require,packet header
2006,rules,ensure,same source IP address
2007,Xen,includes,unmodified commodity operating systems
2008,own  that,emulates,Dom0  VM
2009,when  Intel,underwent_significant,VT x processors
2010,when  Intel,released,VT x
2011,running,adopted_by,VT d
2012,Xen,running,2008
2013,support,added_to,Linux 2011
2014,Xen,incorporated_for,VT d architectures
2015,This,avoids,security driver reliability
2016,OS,exploit,3D graphics card
2017,one,know,bound VM 298
2018,servers,share,same  Xen
2019,generator,sends,1  100
2020,size,increases,100  KB
2021,first  we,see,10  system
2022,when  system,shows,same data rate range
2023,quite  variation,increases,two file size magnitude
2024,Denali,designed,larger network Xen
2025,design,target,existing Denali ABI
2026,design,support,some
2027,design,support,segmentation
2028,multiple guest Xen,support,multiple guest OS
2029,total,had,"3,000 Linux code"
2030,Windows figure,is,Windows XP
2031,it,implement,such  a
2032,answers,discussed_in,section
2033,layered defense mechanism,understood,malware
2034,layered defense mechanism,disabled,layer
2035,VMM,offers_to,physical abstraction hardware
2036,software VMM,forced,physical  hardware
2037,194  it,argues,physical rogue hardware
2038,rootkit,refers_to,privileged  system
2039,name,comes_from,privileged software components
2040,virtual  machine,sees_virtual,legitimate  virtual
2041,guest OS,notice,any
2042,we,address,the
2043,malware,point,VMM
2044,malware,runs,approach
2045,VMM,prevents,malicious guest operating activities
2046,VMBR,record,key
2047,data,be,network
2048,moreover  impunity,change,will
2049,attacker,has,root
2050,malicious  OS,enable,guest OS
2051,ii,run,denial spam application
2052,VMBRs,described_in,several Windows 194
2053,once boot attacker,stress,total root privileges system
2054,once  attacker,has,root privileges attacker
2055,introduction,found_in,recent virtualization 141
2056,machines,dissected_in,Smith
2057,discussion,provided_by,virtual machine Rosenblum
2058,papers,discuss_in,XenVMM performance
2059,system,presented_in,372
2060,paper,compares,standard operating system
2061,project,presented_in,HP 228
2062,new  services,argues,operating system
2063,services,added_below,operating system level
2064,process,creates,virtual  machine
2065,survey,provided_by,virtual security 389
2066,references,discuss,virtualization  architecture
2067,we,discuss,HP Laboratories
2068,VMM,expected,detailed performance analysis
2069,vBlades project,shows,requirements
2070,ISA,conform,requirements
2071,unfortunately IA64 architecture,meet,requirements
2072,hardware,review,four privilege rings
2073,nonprivileged  PL2,used,nonprivileged  instructions
2074,applications,run_at,PL3
2075,OS,accept,four privilege rings
2076,nonprivileged  instructions,allow,an
2077,Itaniumwas,selected_because,functional  units
2078,processor,has,functional  units
2079,word,contains,three
2080,fetch mechanism,read,two L1 pipeline
2081,unit,execute,particular  instruction
2082,hardware,has,renumbered procedure calls
2083,7 bit that,specifies,register usage
2084,illegal write operation,returns,illegal  instruction
2085,illegal write operation,trapped,value
2086,processor,supports,privileged region registers
2087,caller,allows,region
2088,VMM,intercepts,privileged guest isolation
