,source,edge,target
4000,enforcer,gather,together policy decision
4001,Finally  information,carry,decider
4002,mechanism,required,authorized policy rules
4003,path,required,also decider agent
4004,cryptography which,proposed,cryptographic invocation mechanism
4005,Manager,uses,unauthorized type safety sandbox
4006,Java Virtual Machine,accepts,byte code
4007,moreover  code,protect,other  applications
4008,good  security,relies_on,Java class code
4009,approach,fail_due,all security model
4010,keys,embedded_cryptographic,remote  systems
4011,that,allow,keys
4012,that,requires,digital
4013,commodity operating systems,conclude,low  assurance
4014,commodity operating systems,offer_low,low
4015,OS,isolates,one  another
4016,physical  platform,affected,application
4017,level,reduced_to,vulnerable security platform
4018,systems,provide,trusted  users
4019,shortcomings,add_to,computing  environment
4020,financial  application,can,example
4021,human  user,distinguish,malicious service service
4022,when  computer,isolated_in,room
4023,wide  computers,opened,one
4024,various  embodiments,migrate,all  globe
4025,new  society,takes,increasingly information infrastructure
4026,critical  infrastructure,attacked_by,computer security
4027,Malware,targets_industrial,industrial control software
4028,Recently term cyberwarfare,entered,nation damage
4029,3.10  we,identified,Section
4030,9.1  we,elaborate_on,topic
4031,Some,shared_with_other,network  content
4032,how life technology,are_many,on life technology
4033,concerns,represent,acceptance
4034,especially value proposition,fade,time
4035,moving,accepted_by,internal IT community
4036,moving,liberates,technical computer security
4037,rather  outsourcing,seems,security  concerns
4038,outsourcing,generates_major,new  security
4039,cloud computer who,provide_adequate,often  users
4040,pool,dispersed_over_several,several cloud service countries
4041,information,cross_national,freely  national
4042,where data centers,is,cloud computing providers
4043,thus  we,analyze,models
4044,where system VM VMM,restricted_to,hardware
4045,services,provided_by,typically  Figure
4046,security,affected,entire  system
4047,VM technology,provides,virtual  machines
4048,Indeed  VMM,controls,thus memory isolation
4049,VMM,sees,raw operating system
4050,security services,operate_at,logical  level
4051,VMM,has,same  hardware
4052,state,saved,virtual  VMM
4053,cloned  replication,support,cloned  system
4054,We,clone,dangerous running applications
4055,such  files,have,cryptographic  keys
4056,thus  we,expect,better  virtualization
