chapter 1 introduction,contains,1.1 network-centric computing and network-centric content
chapter 1 introduction,contains,1.2 peer-to-peer systems
chapter 1 introduction,contains,1.3 cloud computing: an old idea whose time has come
chapter 1 introduction,contains,1.4 cloud computing delivery models and services
chapter 1 introduction,contains,1.5 ethical issues in cloud computing
chapter 1 introduction,contains,1.6 cloud vulnerabilities
chapter 1 introduction,contains,1.7 major challenges faced by cloud computing
chapter 1 introduction,contains,1.8 further reading
chapter 1 introduction,contains,1.9 history notes
chapter 2 parallel and distributed systems,contains,2.1 parallel computing
chapter 2 parallel and distributed systems,contains,2.2 parallel computer architecture
chapter 2 parallel and distributed systems,contains,2.3 distributed systems
chapter 2 parallel and distributed systems,contains,2.4 global state of a process group
chapter 2 parallel and distributed systems,contains,2.5 communication protocols and process coordination
chapter 2 parallel and distributed systems,contains,2.6 logical clocks
chapter 2 parallel and distributed systems,contains,2.7 message delivery rules; causal delivery
chapter 2 parallel and distributed systems,contains,2.8 runs and cuts; causal history
chapter 2 parallel and distributed systems,contains,2.9 concurrency
chapter 2 parallel and distributed systems,contains,2.10 atomic actions
chapter 2 parallel and distributed systems,contains,2.11 consensus protocols
chapter 2 parallel and distributed systems,contains,2.12 modeling concurrency with petri nets
chapter 2 parallel and distributed systems,contains,2.13 enforced modularity: the client-server paradigm
chapter 2 parallel and distributed systems,contains,2.14 further reading
chapter 2 parallel and distributed systems,contains,2.15 history notes
chapter 3 cloud infrastructure,contains,3.1 cloud computing at amazon
chapter 3 cloud infrastructure,contains,3.2 cloud computing: the google perspective
chapter 3 cloud infrastructure,contains,3.3 microsoft windows azure and online services
chapter 3 cloud infrastructure,contains,3.4 open-source software platforms for private clouds
chapter 3 cloud infrastructure,contains,3.5 cloud storage diversity and vendor lock-in
chapter 3 cloud infrastructure,contains,3.6 cloud computing interoperability: the intercloud
chapter 3 cloud infrastructure,contains,3.7 energy use and ecological impact of large-scale data centers
chapter 3 cloud infrastructure,contains,3.8 service- and compliance-level agreements
chapter 3 cloud infrastructure,contains,3.9 responsibility sharing between user and cloud service provider
chapter 3 cloud infrastructure,contains,3.10 user experience
chapter 3 cloud infrastructure,contains,3.11 software licensing
chapter 3 cloud infrastructure,contains,3.12 further reading
chapter 3 cloud infrastructure,contains,3.13 history notes
chapter 4 cloud computing: applications and paradigms,contains,4.1 challenges for cloud computing
chapter 4 cloud computing: applications and paradigms,contains,4.2 existing cloud applications and new application opportunities
chapter 4 cloud computing: applications and paradigms,contains,4.3 architectural styles for cloud applications
chapter 4 cloud computing: applications and paradigms,contains,4.4 workflows: coordination of multiple activities
chapter 4 cloud computing: applications and paradigms,contains,4.5 coordination based on a state machine model: the zookeeper
chapter 4 cloud computing: applications and paradigms,contains,4.6 the mapreduce programming model
chapter 4 cloud computing: applications and paradigms,contains,4.7 a case study: the greptheweb application
chapter 4 cloud computing: applications and paradigms,contains,4.8 clouds for science and engineering
chapter 4 cloud computing: applications and paradigms,contains,4.9 high-performance computing on a cloud
chapter 4 cloud computing: applications and paradigms,contains,4.10 cloud computing for biology research
chapter 4 cloud computing: applications and paradigms,contains,"4.11 social computing, digital content, and cloud computing"
chapter 4 cloud computing: applications and paradigms,contains,4.12 further reading
chapter 5 cloud resource virtualization,contains,5.1 virtualization
chapter 5 cloud resource virtualization,contains,5.2 layering and virtualization
chapter 5 cloud resource virtualization,contains,5.3 virtual machine monitors
chapter 5 cloud resource virtualization,contains,5.4 virtual machines
chapter 5 cloud resource virtualization,contains,5.5 performance and security isolation
chapter 5 cloud resource virtualization,contains,5.6 full virtualization and paravirtualization
chapter 5 cloud resource virtualization,contains,5.7 hardware support for virtualization
chapter 5 cloud resource virtualization,contains,"5.8 case study: xen, a vmm based on paravirtualization"
chapter 5 cloud resource virtualization,contains,5.9 optimization of network virtualization in xen 2.0
chapter 5 cloud resource virtualization,contains,5.10 vblades: paravirtualization targeting an x86-64 itanium processor
chapter 5 cloud resource virtualization,contains,5.11 a performance comparison of virtual machines
chapter 5 cloud resource virtualization,contains,5.12 the darker side of virtualization
chapter 5 cloud resource virtualization,contains,5.13 software fault isolation
chapter 5 cloud resource virtualization,contains,5.14 further reading
chapter 5 cloud resource virtualization,contains,5.15 history notes
chapter 6 cloud resource management and scheduling,contains,6.1 policies and mechanisms for resource management
chapter 6 cloud resource management and scheduling,contains,6.2 applications of control theory to task scheduling on a cloud
chapter 6 cloud resource management and scheduling,contains,6.3 stability of a two-level resource allocation architecture
chapter 6 cloud resource management and scheduling,contains,6.4 feedback control based on dynamic thresholds
chapter 6 cloud resource management and scheduling,contains,6.5 coordination of specialized autonomic performance managers
